Título da Obra;isbn;qualis
AMAZÔNIA NA AGENDA AMBIENTAL GLOBAL;9788588984 ;L4
América Latina na contemporaneidade: desafios, oportunidades e riscos;9790000000000 ;L2
América Latina y El Caribe - China Economía, Comercio e Inversiones;9790000000000 ;L3
América Latina y El Caribe - China: Relaciones Políticas e Internacionales;9790000000000 ;L3
América Latina y el Caribe y el nuevo sistema internacional: Miradas desde el Sur;13170953 ;L3
América Latina, China y Estados Unidos: Perspectivas Latinoamerianas de las Relaciones Internacionales en el Siglo XXI;9790000000000 ;L2
Anais do 11o. Congresso de Extensão da UFRJ;9790000000000 ;NC
ANAIS DO IX SEMINÁRIO INTERNACIONAL SOBRE EMIGRAÇÃO PORTUGUESA PARA O BRASIL;2175909X;NC
ANAIS DO IX SEMINÁRIO INTERNACIONAL SOBRE EMIGRAÇÃO PORTUGUESA PARA O BRASIL;9790000000000 ;NC
Anais do XV Congresso Internacional do FoMerco;2359687200 ;NC
Anais III Semana de Ciência Política;23584165 ;NC
ANÁLISE DA INFORMAÇÃO PARA TOMADA DE DECISÃO: desafios e soluções;9790000000000 ;L1
Análise de conjuntura em relações internacionais - Abordagens e processos;9788579837654 ;L1
ANÁLISE DE DADOS CATEGÓRICOS EM CIÊNCIA POLÍTICA;9790000000000 ;L1
Análise política e jornalismo de dados: ensaios a partir do Basômetro;9788522515011 ;L2
Antropologia e Direitos Humanos 6;9788565679367 ;L3
Anuario de Integración Latinoamericana y Caribeña.;9780000000000 ;L4
Anuario de la integración latinoamericana y caribeña 2010;9780000000000 ;L4
Anuario de la integración latinoamericana y caribeña 2012;9780000000000 ;L4
Aplicações de técnicas avançadas de avaliação de políticas públicas.;9788580542158 ;L1
APROFUNDAMENTOS EM DIREITO CONSTITUCIONAL;9780000000000 ;L1
Arbitragem e Comércio Internacional;9790000000000 ;L1
Armadilha da renda média - visões do Brasil e da China - Vol. 2;9790000000000 ;L2
Armadilha da renda média visões do Brasil e da China;9790000000000 ;L2
Arquitetura institucional de apoio às organizações da sociedade civil no Brasil;9790000000000 ;L2
Artefatos digitais para a mobilização da sociedade civil. Perspectivas para o avanço da democracia;9788523214753 ;L2
Artesanato e empreendedorismo: ressignificação produtiva do setor artesanal na década de 1990.;9788550901039 ;L2
As bases sociais das novas centrais sindicais;9790000000000 ;L3
As Cidades e os BRICS: Análises comparadas e estudos de caso sobre desenvolvimento urbano nos BRICS.;9790000000000 ;L4
As Ciências Sociais em Revista. Temas e debates na Revista Sociologia 1939-1966;9788562116056 ;L2
As contradições do lulismo - a que ponto chegamos?;8575595113 ;L3
As Formas do Direito - Ordem, Razão e Decisão - (Experiências Jurídicas Antes e Depois da Modernidade);9790000000000 ;L1
As Geraes de Servas : Circuito Cultural Vieira Servas.;9788588221468 ;L2
As ideias importam: o excepcionalismo norte-americano no alvorecer da superpotência;9788547300135 ;L2
As Ideias Também Importam ¿ Abordagem Cognitiva e Políticas Públicas no Brasil;9788536242644 ;L1
AS JORNADAS DE JUNHO E A VONTADE DOS IGUAI;9790000000000 ;L1
As relações comerciais Brasil-África: o novo papel do Nordeste brasileiro;9790000000000 ;L1
As Relações Externas de Cabo Verde: (Re)Leituras Contemporâneas;9790000000000 ;L1
As Relações Internacionais da Ásia e da África;9790000000000 ;L1
AS RELAÇÕES INTERNACIONAIS E O CINEMA VOLUME 2: ESTADO E CONFLITOS INTERNACIONAIS;9788580543124 ;L2
AS RELAÇÕES INTERNACIONAIS E O CINEMA. VOLUME 1: ESPAÇOS E ATORES INTERNACIONAIS;8580542464 ;L1
AS RELACÕES INTERNACIONAIS E O CINEMA: ESPAÇOS E ATORES TRANSNACIONAIS;8580542464 ;L1
As Relações Internacionais e o Cinema: Estado e conflitos internacionais.;0000999999;L2
As relações internacionais em debate - Volume 1;9788560100743 ;L1
"As Relações Internacionais em Debate vol. 2; ISSN/ISBN: 9788560100903.";9790000000000 ;L1
AS RUAS E A DEMOCRACIA. ENSAIOS SOBRE O BRASIL CONTEMPORÂNEO;9790000000000 ;L2
AS TRANSFORMAÇÕES NA ORGANIZAÇÃO INTERNA DO PT ENTRE 1995 E 2009;9790000000000 ;L4
As transformações no sistema monetário internacional;9878111700 ;L3
Atlântico: a história de um oceano.;9790000000000 ;L2
atlas da política externa brasileira;9789877220407 ;L4
ATLAS OF BRAZILIAN FOREIGN POLICY;9789877221817 ;L3
Atores partidários e entrada estratégica em competição eleitoral de múltiplas arenas: a experiência brasileira;9790000000000 ;L3
ATORES SOCIAIS, DIVERSIDADE E IDENTIDADE;9788567442174 ;L2
Aulas de Museu;9788538602903 ;L2
Autonomia e controle das agências reguladoras: o papel do Tribunal de Contas da União no arranjo regulatório brasileiro;9790000000000 ;L2
Autonomia e mobilização política dos camponeses no Maranhão;9788599274309 ;L1
avaliação de pol publicas;9790000000000 ;L3
Bala Perdida: a violência policial no Brasil e os desafios para sua superação;9788575594414 ;L2
Belo Monte e a questão indígena;9790000000000 ;L2
Bolivia: la Refundacion Multietnica sobre la Riqueza del Potosi;9880000000000 ;L1
Bolívia: Logística Nacional e Construção do Estado;9790000000000 ;L3
Brasil e Argentina: da Rivalidade à Cooperação.;9788561336097 ;L2
Brasil e Argentina: Políticas de Desenvolvimento;9790000000000 ;L3
BRASIL E ARGENTINA: POLÍTICAS E TRAJETÓRIAS DE DESENVOLVIMENTO;9790000000000 ;L3
Brasil e Bélgica: cinco séculos de conexões e interações;9790000000000 ;L3
Brasil e Chile: posição geopolítica mundial contemporânea;9788568649015 ;L1
Brasil nos BRICS;9790000000000 ;L2
Brasil y México en América Latina del siglo XXI - protagonismo político, modelos de desarrollo, encuentros culturales y perspectivas de integración.;9790000000000 ;L3
Brasil, Sociedade em Movimento;9790000000000 ;L3
Brasil-China: construindo o BRICS;9790000000000 ;L2
Brasilien - Eine Einführung;9783865277824 ;L1
BRASILIEN POLITISCHE SYSTEME IM VERGLEICH. FORMALE UND INFORMELLE INSTITUTIONEN IM POLITISCHEN PROZESS;9780000000000 ;L3
Brazil in the International Arena for Sustainable Development;9790000000000 ;L1
Brazil Under the Workers' Party: Continuity and Change from Lula to Dilma;9780000000000 ;L4
BRAZILIAN FOREIGN ECONOMIC POLICY: PROSPECTS FOR BRICS;9787208137929 ;L3
Brazil-US Relations in the 20th and 21st Centuries;9790000000000 ;L3
BRICS;198324567 ;L2
BRICs - Cities and the Issue of Social Mobility: Attraction of Capital and the Right to the City;9790000000000 ;L1
BRICS: as potências emergentes.;8532644651 ;L2
Burocracia de Médio Escalão: perfil, trajetória e atuação;9788525600752 ;L3
BUROCRACIA E IMPLEMENTAÇÃO DE POLÍTICAS DE SAÚDE;9790000000000 ;L3
Cadernos de Pesquisa Social 3 - Cidadania e Democracia;9788577982042 ;L1
Caio Prado Jr.: legado de um saber-fazer histórico;9790000000000 ;L1
CAMINHOS PARA O PODER: A SELEÇÃO DE CANDIDATOS PARA DEPUTADO FEDERAL NAS ELEIÇÕES BRASILEIRAS;9790000000000 ;L2
Capacidades estatais em países emergentes: o Brasil em perspectiva comparada;9788578112653 ;L3
Capacidades Estatais e Democracia: Arranjos Institucionais de Políticas Públicas;9788578111991 ;L2
Capacitação em Negociações Internacionais;9780000000000 ;L2
Capitalismo histórico e alternativas: diálogos com análises dos sistemas-mundo;9788573200881 ;L2
Carandiru não é coisa do passado;9790000000000 ;L1
Cargos de confiança no presidencialismo de coalizão brasileiro;9790000000000 ;L3
Cartilha dos Fundos Solidários da Região Sul: histórico, organização e gestão;9790000000000 ;NC
Cartografia da Justiça no Brasil: uma análise a partir dos atores e territórios;9788502210202 ;L2
CATALOGO DE FONTES DOCUMENTAIS E ARQUIVÍSTICAS SOBRE COMUNIDADES QUILOMBOLAS NO BRASIL.;9788587942395 ;L1
Celso Furtado e a dimensão cultural do Desenvovimento;9788576503781 ;L4
CERVO, A. L. . Relações Internacionais da América Latina: de 1930 aos nossos dias. 3. ed. São Paulo: Saraiva, 2013. v. 1. 276p .;9790000000000 ;L3
Checkbook elections? Political Finance in Comparative Perspective;9780190603618 ;L3
Ciberpolítica: Conceitos e Experiências;9788523214852 ;L3
Cidadania, Direitos Humanos e Políticas Públicas no Brasil;9788544407714 ;L1
Cidade de Papirus;8566019070 ;L1
Cidade, Poder Local e Políticas Públicas;9788523706173 ;L1
Ciência Política Hoje;9790000000000 ;L1
"Citlali Ayala Martinez; Jesus Rivera de la Rosa. (Org.). De la diversidad a la consonancia:la cooperación sur-sur latinoamericana ";9880000000000 ;L4
Climate Governance in the Developing World;9780000000000 ;L3
Cobertura jornalística da corrupção política: sistemas políticos, sistemas mediáticos, enquadramentos legais;9790000000000 ;L1
Cobertura jornalística dos movimentos grevistas de 2015 no Paraná.;9790000000000 ;L1
Coberturas Jornalísticas;9790000000000 ;L1
COLIGAÇÕES E DISPUTAS ELEITORAIS NA NOVA REPÚBLICA Aportes teórico-metodológicos, tendências e estudos de caso;9788575042045 ;L4
Comércio, Globalização e Formação do Capital Social;9790000000000 ;L1
Commercialising Security: Political Consequences for European Military Operations;415509890 ;L3
Como estudar elites;9788584800384 ;L3
Comparative Employment Relations in the Global Economy;9780415686624 ;L3
Comportamento e Instituições Políticas;9788538603238 ;L2
Comportamento Eleitoral e Comunicação Política na América Latina: o eleitor latino americano;9788570419 ;L4
Comunicação Organizacional Estratégica: aportes conceituais aplicados;9788532310460 ;L3
Comunicação, educação e democracia no legislativo brasileiro;9788540204362 ;L1
Comunicação, Teconolgia e Ambiente;9790000000000 ;L2
CONCEPÇÕES DE JUSTIÇA EM CHAÏM PERELMAN E JOHN RAWLS: introdução ao debate multidisciplinar entre relativismo e universalismo;9788544403716 ;L2
Conceptos políticos, tiempo e historia nuevos enfoques en historia conceptual;9790000000000 ;L4
Conferências nacionais : Atores, dinâmicas participativas e efetividades;9788578111786 ;L2
Conflitos agrários: seus sujeitos, seus direitos.;978.85.71038974;L3
Conhecimento tradicional e Biodiversidade : normas vigentes e propostas;97885788312575 ;L1
CONJUNTURA E MOBILIZAÇÕES NO BRASIL: DIREITOS, CENTAVOS, FUMAÇA E VINAGRE;9790000000000 ;L1
CONSELHOS E PARTICIPAÇÃO POLÍTICA: TEORIA E PRÁTICAS;9790000000000 ;L3
Constituição e Direitos Fundamentais em Perspectiva;9790000000000 ;L1
Constituição e Política na Democracia - aproximações entre direito e ciência política;9790000000000 ;L2
Constituinte Exclusiva - um outro sistema político é possível.;9788577432431 ;L1
Constitutional Reform in Times of Transition;9791093214009 ;L1
Consulta e Participação: a crítica à metáfora da teia de aranha.;9790000000000 ;L2
Controle de Constitucionalidade;9788579872648 ;L2
Controlling Small Arms - Consolidation, innovation and relevance in research and policy;9780000000000 ;L4
Controvérsias Constitucionais Atuais.;857348898 ;L2
Conversas de pé de ouvido: Rede interpessoal e comportamento político: espaço de aplicações e divergências teóricas;9780000000000 ;L1
Cooperação Brasil-Índia: Dinâmicas e Perspectivas;9790000000000 ;L1
Cooperação e Conflitos Internacionais: Globalização, Regionalismo e Atores;9790000000000 ;L4
Cooperação e Desenvolvimento nos Países de Língua Portuguesa: o Papel das Universidades;9790000000000 ;L1
Cooperação Sul-Sul: práticas, abordagens e desafios.;858054307X;L2
Cooperación Sur-Sur, Política Exterior y Modelos de Desarrollo en América Latina.;9789877222029 ;L3
Corrupção: parceria degenerativa;9790000000000 ;L1
Cosmopolitanism, Religion and the Public Sphere;415819385 ;L2
Crise de Representação dos Partidos Políticos no Brasil;9788546205943 ;L2
Crise do capitalismo global no mundo e no Brasil;9790000000000 ;L2
Crises humanitárias, cooperação e o papel do Brasil;9788593320002 ;L1
Crisis and institutional change in regional integration;9781138951839 ;L3
Cultura de Defesa Sul-Americana;9790000000000 ;L2
Cultura de Defesa Sul-Americana ou Culturas de Defesa do Cone Sul e da Região Andina?;9790000000000 ;L2
Cultura e direitos humanos nas relações internacionais;9788579838019 ;L3
Cultura política, gênero de democracia - estudos sobre Maringá e eleições;9790000000000 ;L3
Cultura, corpo e educação;9790000000000 ;L2
Cultura, política e ativismo nas redes digitais;9790000000000 ;L1
Curso de Direito Processual Constitucional;9788584405084 ;L2
Curso livre de teoria política: normatividade e empiria;9788547301491 ;L2
Da Monarquia à Oligarquia: história institucional e pensamento político brasileiro (1822-1930);9790000000000 ;L1
Dangerous Liaisons: Organized Crime adn Political Finance in Latin America and Beyond;9780000000000 ;L4
De Colonos a Imigrantes: I(E)migração portuguesa para o Brasil;9790000000000 ;L1
De la Pan-Amazonia al Río de la Plata;9790000000000 ;L3
De que lado você está;9788575594407 ;L1
De Vargas aos militares: autoritarismo e desenvolvimento econômico no Brasil.;789000000000 ;L3
Defesa e segurança do Atlântico Sul : VIII ENABED;9788578225414 ;L3
Defesa da Amazônia: VII ENABED;9790000000000 ;L3
Defesa e Cooperação Interagências;9790000000000 ;L3
Defesa e Criminalidade: Em Busca da Convergência para a Segurança;9790000000000 ;L3
